learning_rate,depth,subsample,iterations,l2_leaf_reg,CV-10-train-RMSE,CV-10-train-R2,CV-10-validation-RMSE,CV-10-validation-R2,test-RMSE,test-R2
0.2,8,0.9,400,10,0.426207434,0.998975616,3.798287077,,2.814671739,0.935288828
0.3,6,0.9,200,5,0.423315189,0.998988833,3.696101602,,2.814806124,0.935282649
0.2,6,0.9,400,10,0.66954801,0.997473648,3.64798946,,2.815147644,0.935266944
0.3,8,0.6,300,1,0.112389635,0.999927098,3.961313721,,2.815421985,0.935254327
0.3,8,0.6,400,1,0.112316374,0.999927119,3.961280941,,2.815475633,0.935251859
0.2,8,0.6,200,10,0.989239675,0.994502873,3.890372466,,2.816411331,0.935208815
0.3,6,0.9,400,5,0.147780825,0.999876883,3.587108771,,2.816634902,0.935198528
0.1,8,0.9,300,3,0.442505709,0.998898926,3.494670001,,2.818390259,0.935117733
0.1,8,0.6,100,1,1.32088046,0.990205011,3.991024024,,2.819495329,0.935066843
0.3,7,0.7,400,1,0.112361144,0.999927111,3.763531898,,2.820370708,0.935026517
0.3,7,0.7,200,1,0.117689591,0.999921334,3.76419685,,2.820437656,0.935023432
0.3,7,0.7,300,1,0.112691528,0.999926908,3.76338981,,2.820526462,0.935019341
0.1,6,0.9,300,5,1.132420607,0.992802413,3.937970199,,2.820756153,0.935008757
0.3,6,0.9,300,5,0.214095784,0.999741696,3.618858671,,2.821465326,0.934976073
0.3,7,0.7,100,3,0.609203375,0.99791214,3.862485318,,2.823274851,0.934892641
0.3,3,0.9,200,5,1.532109315,0.98682357,4.479275663,,2.823384267,0.934887595
0.4,8,0.6,100,3,0.291048431,0.999521636,3.592622434,,2.826200933,0.934757615
0.1,5,0.9,400,1,0.329241998,0.999390643,3.593299324,,2.826258797,0.934754943
0.2,8,0.7,300,10,0.580745205,0.998104728,3.632314315,,2.826763309,0.934731648
0.4,7,0.7,200,3,0.137063882,0.999894176,3.762544303,,2.828878539,0.934633932
0.1,6,0.9,300,3,0.728338012,0.997021003,3.676725976,,2.829581069,0.934601462
