learning_rate,max_depth,subsample,n_estimators,reg_lambda,colsample_bytree,LOO-train-RMSE,LOO-train-R2,LOO-val-RMSE,LOO-val-R2,test-RMSE,test-R2
0.3,7,0.8,400,10,0.8,0.175255663,0.999826356,3.503630679,,2.839463127,0.939783173
0.1,8,0.8,400,1,1,0.112689383,0.999926268,4.139373802,,2.840350599,0.939745526
0.4,7,0.7,200,3,0.8,0.135597833,0.999895609,3.736113837,,2.840721431,0.939729791
0.1,8,0.8,300,1,1,0.112546448,0.999926481,4.134656274,,2.840819909,0.939725612
0.2,8,0.8,400,10,0.8,0.284899627,0.999541601,3.435315943,,2.84270685,0.939645514
0.2,7,0.6,400,5,0.8,0.2915133,0.999518422,3.592483675,,2.842746509,0.93964383
0.4,5,0.6,200,5,0.8,0.504732128,0.998558778,3.504112663,,2.84308302,0.93962954
0.4,8,0.8,200,10,0.6,0.679145273,0.997392468,3.419686575,,2.845319207,0.939534536
0.3,6,0.6,200,5,1,0.222393921,0.999719932,3.547880823,,2.845732908,0.939516951
0.1,8,0.8,200,1,1,0.11498866,0.999924017,4.136630377,,2.846504916,0.939484131
0.3,7,0.8,300,1,1,0.113484913,0.999925208,4.111735519,,2.848348602,0.939405713
0.4,7,0.8,300,10,0.6,0.389193042,0.999142312,3.511115436,,2.848395765,0.939403706
0.3,7,0.8,200,1,1,0.112540512,0.999926454,4.113878809,,2.848692632,0.939391074
0.3,7,0.8,100,1,1,0.115840598,0.999922275,4.115115056,,2.849216419,0.939368784
0.4,6,0.9,300,10,0.8,0.155026989,0.999863773,3.471695661,,2.849367667,0.939362347
0.3,7,0.8,400,1,1,0.113531918,0.999925145,4.129159462,,2.84943122,0.939359642
0.2,6,0.6,400,10,0.8,0.651080472,0.997605116,3.29742633,,2.850166306,0.93932835
0.4,5,0.9,200,10,0.8,0.435984755,0.998926411,3.449865609,,2.851088647,0.939289076
0.3,6,0.8,200,5,0.6,0.528650179,0.998417005,3.520239301,,2.851219525,0.939283502
0.3,5,0.9,400,10,0.8,0.232085347,0.999695698,3.458429048,,2.851269251,0.939281384
0.4,7,0.7,300,3,0.8,0.114810653,0.999923885,3.745300311,,2.851491907,0.939271901
0.4,7,0.7,400,3,0.8,0.114201928,0.999924341,3.757587223,,2.851512722,0.939271014
0.2,7,0.8,300,10,0.8,0.466058357,0.998773135,3.417183289,,2.852528229,0.939227752
0.4,5,0.9,300,5,0.8,0.1298903,0.99990381,3.570576928,,2.853628963,0.939180841
0.2,6,0.6,200,3,0.8,0.572373351,0.99814929,3.506081406,,2.854403992,0.9391478
0.3,7,0.8,300,10,0.8,0.262270333,0.999611254,3.502207341,,2.855092702,0.939118432
0.1,6,0.8,300,5,1,0.346086181,0.999323479,3.558454806,,2.855671918,0.939093727
0.2,7,0.8,200,10,1,0.401713137,0.999088182,3.542444135,,2.855799072,0.939088303
0.3,8,0.6,200,10,1,0.44374543,0.998887338,3.372630365,,2.856220588,0.939070321
0.4,5,0.9,400,5,0.8,0.117563461,0.999920499,3.580712009,,2.856746964,0.939047861
0.4,8,0.6,100,10,1,0.787369313,0.996489799,3.429741669,,2.858586885,0.938969322
0.3,6,0.8,300,10,0.6,0.57830273,0.998111124,3.32803726,,2.861575985,0.938841621
0.1,8,0.8,400,5,1,0.128873265,0.99990588,3.810906477,,2.861984999,0.938824137
0.3,6,0.9,400,10,0.6,0.32156936,0.999415908,3.509551585,,2.862274804,0.938811747
0.2,8,0.9,400,1,1,0.112389854,0.999926658,4.465756793,,2.862415135,0.938805747
0.2,8,0.9,300,1,1,0.112965424,0.999925906,4.46783233,,2.863588172,0.938755581
0.2,8,0.9,200,1,1,0.112402805,0.999926647,4.465052896,,2.863911778,0.938741738
0.2,6,0.8,400,10,0.8,0.363211615,0.999255164,3.337998086,,2.866430794,0.938633928
0.2,8,0.9,100,1,1,0.113251753,0.999925742,4.464244863,,2.867979368,0.938567605
0.4,8,0.9,100,3,1,0.112967242,0.999926051,3.963860036,,2.868599352,0.938541042
0.2,7,0.6,300,5,0.8,0.443346768,0.998887739,3.547457323,,2.869831375,0.938488239
0.4,8,0.9,200,3,1,0.112400759,0.999926652,3.965208162,,2.870609344,0.938454885
0.2,7,0.6,300,10,1,0.441029586,0.998900155,3.412595449,,2.870956678,0.93843999
0.4,8,0.9,300,3,1,0.112852879,0.999926058,3.96745462,,2.871546516,0.938414693
0.2,6,0.8,400,3,1,0.112748741,0.99992623,3.605276717,,2.872025878,0.93839413
0.4,6,0.9,200,10,0.8,0.309690474,0.999457578,3.465389311,,2.872160633,0.938388348
0.4,8,0.9,400,3,1,0.112384086,0.999926669,3.967292011,,2.872422559,0.938377111
0.2,6,0.8,200,3,1,0.129594546,0.999904607,3.595929513,,2.873907508,0.93831338
0.1,7,0.9,100,1,1,0.301477893,0.999481114,4.000188457,,2.874090063,0.938305543
0.1,7,0.8,200,5,1,0.537755972,0.998366554,3.737646093,,2.874847115,0.938273037
0.4,6,0.8,200,10,0.6,0.734938092,0.996947178,3.350159582,,2.875794635,0.938232341
0.2,8,0.6,400,5,1,0.12004991,0.999917668,3.518114292,,2.876440032,0.938204614
0.2,6,0.8,300,3,1,0.113587302,0.999925431,3.599612575,,2.876495048,0.93820225
0.3,6,0.9,300,5,1,0.1128571,0.999926159,3.768127316,,2.877687201,0.938151016
0.3,6,0.9,400,5,1,0.112434651,0.999926636,3.767236556,,2.878088428,0.938133768
0.3,8,0.8,400,10,0.6,0.381878624,0.999176136,3.331306968,,2.880284621,0.938039315
0.4,7,0.7,100,3,0.8,0.417812773,0.999007843,3.689975506,,2.881035621,0.938007
0.4,6,0.7,200,3,0.6,0.327365929,0.99939331,3.751103839,,2.881319333,0.937994789
0.2,8,0.8,300,10,0.8,0.43663361,0.998923311,3.452114472,,2.881781446,0.937974899
0.2,8,0.8,400,10,0.6,0.608022933,0.997913578,3.265560694,,2.883855127,0.937885602
0.3,6,0.9,200,5,1,0.116591824,0.999922123,3.768005055,,2.884505688,0.937857575
0.2,8,0.6,300,5,1,0.153748307,0.999866209,3.494702449,,2.886339455,0.937778538
0.2,7,0.6,400,3,0.8,0.166147033,0.999843504,3.621027577,,2.886527133,0.937770446
0.2,5,0.9,400,10,0.8,0.406048894,0.999068865,3.411212636,,2.889449729,0.937644368
0.2,8,0.9,400,10,0.6,0.449582478,0.998859317,3.433331545,,2.89027945,0.937608551
0.3,5,0.9,300,10,0.8,0.331145774,0.999381085,3.435614815,,2.890950782,0.937579564
0.1,8,0.8,300,5,1,0.194707987,0.999785939,3.815250506,,2.891996219,0.937534411
0.3,4,0.8,400,10,0.8,0.467775537,0.998764478,3.376282032,,2.892180796,0.937526437
0.3,8,0.8,400,10,0.8,0.162746427,0.999850166,3.509467949,,2.892201705,0.937525533
0.2,7,0.6,300,3,0.8,0.246218041,0.999656961,3.594800704,,2.892779662,0.937500562
0.2,7,0.8,400,10,0.6,0.628117135,0.997773091,3.240615697,,2.893371035,0.937475006
0.3,7,0.9,400,10,0.8,0.135572306,0.999895679,3.543765874,,2.893805334,0.937456234
0.1,7,0.8,100,1,1,0.396591816,0.999105208,3.889207372,,2.894614433,0.937421255
0.2,5,0.9,200,5,0.8,0.554617594,0.998263375,3.545991195,,2.895861887,0.937367306
0.2,6,0.8,400,10,0.6,0.674130214,0.997434297,3.262632581,,2.896533626,0.937338246
0.3,8,0.8,300,10,0.6,0.515088552,0.998501822,3.338846076,,2.897598887,0.937292147
