learning_rate,depth,subsample,iterations,l2_leaf_reg,CV-10-train-RMSE,CV-10-train-R2,CV-10-validation-RMSE,CV-10-validation-R2,test-RMSE,test-R2
0.2,7,0.8,100,1,0.346771385,0.999320076,6.076073731,0.750055924,2.779614146,0.936890784
0.4,7,0.6,100,5,0.531968594,0.998340043,5.804137281,0.772312642,2.781527776,0.936803859
0.3,3,0.8,300,10,1.492739414,0.98740699,6.381726175,0.726175671,2.781675424,0.93679715
0.1,5,0.9,400,3,0.604888972,0.99791553,6.046596846,0.756401,2.784200309,0.936682361
0.3,7,0.6,100,1,0.210501649,0.999748432,6.154021099,0.747715166,2.785845756,0.936607498
0.3,7,0.6,200,1,0.086287673,0.999943142,6.133260866,0.749090581,2.786964124,0.936556591
0.3,7,0.6,400,1,0.077180436,0.999944982,6.132206329,0.749211562,2.787973576,0.936510623
0.3,7,0.6,300,1,0.078221463,0.999944952,6.132300345,0.749203809,2.788176576,0.936501377
0.4,3,0.7,300,10,1.131679025,0.992729106,5.871623201,0.768761105,2.788229974,0.936498945
0.4,7,0.8,400,10,0.11856632,0.999911333,6.019268207,0.753522181,2.790669601,0.936387773
0.4,7,0.8,200,3,0.092722838,0.999939828,6.503277509,0.716547882,2.792953037,0.93628363
0.2,8,0.7,400,10,0.304263734,0.999475108,5.962972315,0.755948331,2.793707075,0.936249221
0.2,5,0.6,400,3,0.260336049,0.999612178,5.837577779,0.774941151,2.793729774,0.936248186
0.3,7,0.8,300,3,0.086176793,0.999943263,6.386320538,0.723925835,2.793736323,0.936247887
0.4,7,0.8,300,3,0.079409229,0.999944859,6.505439432,0.716387912,2.794316826,0.93622139
0.3,7,0.8,400,5,0.091827102,0.999940218,6.056710137,0.7540441,2.794538085,0.93621129
0.3,7,0.8,400,3,0.079321706,0.999944863,6.386476815,0.723899829,2.794821678,0.936198342
0.3,7,0.8,300,5,0.126078809,0.999906109,6.057704111,0.754016057,2.794930232,0.936193386
0.2,7,0.7,400,3,0.096427162,0.999936817,6.196562321,0.734825223,2.795284837,0.936177194
0.2,7,0.7,300,3,0.136747668,0.999891658,6.198768194,0.734756463,2.795746836,0.936156095
0.4,7,0.8,400,3,0.077446749,0.999944979,6.505813858,0.716358677,2.795844465,0.936151636
0.2,5,0.6,300,3,0.401742773,0.999075635,5.851088102,0.774526807,2.796484303,0.936122409
0.1,6,0.9,400,3,0.373532595,0.99920661,6.030967641,0.753391379,2.796853581,0.936105538
0.3,7,0.8,200,3,0.12552625,0.999908823,6.386348684,0.723925622,2.797096423,0.936094442
0.4,7,0.8,300,10,0.19439518,0.999777239,6.022904653,0.753354231,2.798352435,0.936037036
0.2,7,0.7,200,3,0.287753328,0.999530875,6.200464014,0.735150288,2.798768666,0.936018007
0.1,7,0.9,300,10,1.863068466,0.980279622,6.597177416,0.714435788,2.799342195,0.935991782
0.3,3,0.8,400,10,1.158663831,0.992364749,6.246148626,0.738048699,2.804227211,0.935768191
0.3,8,0.6,100,1,0.128075685,0.999903069,6.227857808,0.73955808,2.804313867,0.935764221
0.3,7,0.8,200,5,0.256676773,0.999624339,6.075655534,0.752983519,2.804826078,0.935740753
0.3,5,0.6,400,10,0.428806656,0.998950042,5.697491263,0.782213271,2.807465031,0.935619778
0.4,7,0.7,100,3,0.280099563,0.999551077,6.027261696,0.758131401,2.808646707,0.935565571
0.4,7,0.8,100,3,0.268549769,0.999592481,6.502332907,0.716539873,2.812663519,0.935381136
