learning_rate,max_depth,subsample,n_estimators,reg_lambda,colsample_bytree,LOO-train-RMSE,LOO-train-R2,LOO-val-RMSE,LOO-val-R2,test-RMSE,test-R2,
0.1,8,0.6,300,10,0.8,0.747716698,0.939461526,1.910081432,,0.225401727,0.965313859,
0.3,4,0.7,100,10,1,0.449907861,0.978000207,2.134206721,,0.225631433,0.965243125,
0.1,5,0.6,300,10,0.8,0.747283076,0.939535984,1.904222013,,0.2259899,0.965132599,
0.2,3,0.9,100,3,0.8,0.149182118,0.997529474,2.371807123,,0.226030662,0.96512002,
0.2,4,0.7,300,10,0.8,0.218382952,0.994799284,2.206274012,,0.226291618,0.965039434,
0.2,3,0.7,400,10,0.8,0.128226642,0.998188977,2.237642514,,0.22638868,0.965009437,
0.4,3,0.8,100,10,0.8,0.280888948,0.991376517,2.377516271,,0.226551388,0.964959123,
0.3,4,0.7,200,10,1,0.135163461,0.998000232,2.305596957,,0.226596046,0.964945307,
0.3,5,0.6,100,10,0.8,0.725222402,0.942873011,1.972983033,,0.226806529,0.964880153,
0.4,4,0.7,200,10,0.8,0.111807978,0.998607774,2.346532891,,0.226899921,0.964851224,
0.1,6,0.7,300,10,1,0.489265843,0.974126842,2.057047481,,0.22697634,0.964827544,
0.1,7,0.7,300,10,1,0.48941934,0.974110252,2.056088084,,0.227005157,0.964818613,
0.1,8,0.7,300,10,1,0.489421278,0.974110064,2.056066895,,0.227005157,0.964818613,
0.4,6,0.6,100,5,0.8,0.244765821,0.993227769,2.427855031,,0.227043645,0.964806682,
0.4,7,0.6,100,5,0.8,0.244539357,0.993229087,2.424420134,,0.227043645,0.964806682,
0.4,8,0.6,100,5,0.8,0.244537491,0.9932292,2.424368457,,0.227043645,0.964806682,
0.2,6,0.8,200,10,0.6,0.388510538,0.983495651,2.171781927,,0.227089013,0.964792616,
0.3,3,0.7,100,10,1,0.479327442,0.975085244,2.089130679,,0.227135886,0.96477808,
0.1,4,0.7,200,5,0.8,0.461520674,0.976891327,2.150709981,,0.22713617,0.964777992,
0.2,7,0.8,200,10,0.6,0.388448673,0.983499997,2.171658784,,0.2271765,0.964765483,
0.2,8,0.8,200,10,0.6,0.388448424,0.983500015,2.171654373,,0.2271765,0.964765483,
0.1,6,0.6,200,10,0.8,0.978667829,0.896448153,1.794995702,,0.22729198,0.964729653,
