PI-content,CF-content,Sizing agent-content,GP-content,TS_pred,TC_pred,Pareto_optimal
0.76,0.04,0.005,0.2,44.428574,7.0036407,FALSE
0.76,0.04,0.01,0.2,56.664238,8.907541,FALSE
0.76,0.04,0.015,0.2,56.664238,8.907541,FALSE
0.76,0.04,0.02,0.2,58.97324,11.391788,FALSE
0.76,0.04,0.025,0.2,58.97324,11.391788,FALSE
0.76,0.04,0.03,0.2,56.509716,11.557381,FALSE
0.76,0.04,0.035,0.2,56.509716,11.557381,FALSE
0.76,0.04,0.04,0.2,54.562874,10.537892,FALSE
0.76,0.04,0.045,0.2,54.562874,10.537892,FALSE
0.76,0.04,0.05,0.2,53.51136,10.455281,FALSE
0.76,0.04,0.055,0.2,53.51136,10.455281,FALSE
0.76,0.09,0,0.15,54.65016,7.7254868,FALSE
0.76,0.09,0.005,0.15,54.65016,7.7254868,FALSE
0.76,0.09,0.01,0.15,64.03911,9.698029,FALSE
0.76,0.09,0.015,0.15,64.03911,9.698029,FALSE
0.76,0.09,0.02,0.15,67.709496,12.502571,FALSE
0.76,0.09,0.025,0.15,67.709496,12.502571,FALSE
0.76,0.09,0.03,0.15,64.77307,12.542958,FALSE
0.76,0.09,0.035,0.15,64.77307,12.542958,FALSE
0.76,0.09,0.04,0.15,61.40883,11.253743,FALSE
0.76,0.09,0.045,0.15,61.40883,11.253743,FALSE
0.76,0.09,0.05,0.15,59.769722,11.197866,FALSE
0.76,0.09,0.055,0.15,59.769722,11.197866,FALSE
0.76,0.1,0,0.14,53.75099,7.6011624,FALSE
0.76,0.1,0.005,0.14,53.75099,7.6011624,FALSE
0.76,0.1,0.01,0.14,63.55306,9.623639,FALSE
0.76,0.1,0.015,0.14,63.55306,9.623639,FALSE
0.76,0.1,0.02,0.14,67.28228,13.3426895,FALSE
0.76,0.1,0.025,0.14,67.28228,13.3426895,FALSE
0.76,0.1,0.03,0.14,63.220116,13.387088,FALSE
0.76,0.1,0.035,0.14,63.220116,13.387088,FALSE
0.76,0.1,0.04,0.14,60.956573,11.942811,FALSE
0.76,0.1,0.045,0.14,60.956573,11.942811,FALSE
0.76,0.1,0.05,0.14,59.29934,11.878156,FALSE
0.76,0.1,0.055,0.14,59.29934,11.878156,FALSE
0.76,0.11,0,0.13,56.82776,7.7844224,FALSE
0.76,0.11,0.005,0.13,56.82776,7.7844224,FALSE
0.76,0.11,0.01,0.13,67.328064,9.806898,FALSE
0.76,0.11,0.015,0.13,67.328064,9.806898,FALSE
0.76,0.11,0.03,0.13,67.0959,13.704245,FALSE
0.76,0.11,0.035,0.13,67.0959,13.704245,FALSE
