learning_rate,max_depth,subsample,n_estimators,reg_lambda,colsample_bytree,LOO-train-RMSE,LOO-train-R2,LOO-val-RMSE,LOO-val-R2,test-RMSE,test-R2,
0.4,7,0.6,400,3,1,0.000970375,0.999999996,8.796456337,,3.198750913,0.936141984,
0.01,6,0.9,400,5,0.8,7.194557843,0.792304633,9.614906425,,3.20193081,0.936014958,
0.01,7,0.9,400,5,0.8,7.194561501,0.792304416,9.614906425,,3.20193081,0.936014958,
0.01,8,0.9,400,5,0.8,7.194561501,0.792304416,9.614906425,,3.20193081,0.936014958,
0.01,4,0.9,400,5,0.8,7.212323343,0.79129131,9.609284153,,3.205835069,0.935858823,
0.01,8,0.8,200,1,0.8,6.192681625,0.845980601,9.322133179,,3.207342832,0.935798475,
0.01,8,0.7,200,1,0.8,6.681805753,0.820671133,9.181950922,,3.216792316,0.935419616,
0.01,7,0.7,200,1,0.8,6.680104296,0.820758495,9.182075377,,3.219629978,0.935305628,
0.01,5,0.8,200,1,0.8,6.202445309,0.845490878,9.318724985,,3.225090542,0.935085996,
0.01,6,0.7,200,1,0.8,6.680936169,0.820716644,9.187601919,,3.225907725,0.935053096,
0.01,5,0.7,200,1,0.8,6.688311879,0.820319071,9.185355778,,3.227307882,0.934996705,
0.01,4,0.6,400,3,0.6,7.407023717,0.779598687,9.226703634,,3.227359384,0.93499463,
0.01,4,0.6,400,5,0.6,8.917111743,0.680704678,9.655926447,,3.229734225,0.934898927,
0.01,3,0.7,200,1,0.8,6.965202759,0.805041984,9.256623259,,3.232689412,0.934779738,
0.01,6,0.7,300,3,0.8,7.811480817,0.755204116,9.313298931,,3.233207151,0.934758846,
0.01,7,0.7,300,3,0.8,7.811420069,0.755207898,9.313707581,,3.233207151,0.934758846,
0.01,8,0.7,300,3,0.8,7.8114217,0.755207783,9.313707581,,3.233207151,0.934758846,
0.01,5,0.7,300,3,0.8,7.812176297,0.755161183,9.31473588,,3.234052186,0.934724738,
0.01,5,0.6,400,5,0.6,8.915906088,0.680786764,9.655164461,,3.238196724,0.934557327,
0.01,6,0.6,400,5,0.6,8.915928169,0.680785229,9.655199032,,3.238235307,0.934555767,
0.01,7,0.6,400,5,0.6,8.915930326,0.680785077,9.655205469,,3.238235307,0.934555767,
0.01,8,0.6,400,5,0.6,8.915930326,0.680785077,9.655205469,,3.238235307,0.934555767,
0.01,4,0.7,300,3,0.8,7.826886697,0.754237539,9.338893642,,3.242093383,0.934399732,
0.3,7,0.6,200,3,1,0.015225599,0.999998795,8.699917793,,3.246801369,0.934209071,
0.3,7,0.6,100,3,1,0.268755305,0.999695543,8.722944975,,3.247213742,0.934192358,
0.4,5,0.6,100,10,1,1.913593252,0.9852238,8.738400688,,3.248982918,0.934120631,
0.01,4,0.6,200,1,0.6,7.609459361,0.766953403,9.473027925,,3.249640381,0.934093966,
0.01,4,0.7,200,1,0.8,6.740090866,0.817518362,9.168356171,,3.250026855,0.934078289,
0.01,3,0.6,400,5,0.6,8.948803133,0.678431602,9.679257374,,3.253591636,0.933933597,
0.3,7,0.6,300,3,1,0.001916868,0.999999982,8.697933912,,3.256460733,0.933817028,
0.01,4,0.8,200,1,0.8,6.27590466,0.841791702,9.321701994,,3.256477927,0.933816329,
0.3,7,0.6,400,3,1,0.001131911,0.999999995,8.697763443,,3.256582181,0.933812091,
0.01,5,0.6,400,3,0.6,7.400281161,0.780007608,9.217133036,,3.256645116,0.933809533,
0.01,3,0.6,400,1,0.8,4.410005122,0.921705463,8.48576581,,3.258882529,0.933718552,
0.01,7,0.6,400,3,0.6,7.400142511,0.780015379,9.218932381,,3.259384138,0.933698146,
0.01,8,0.6,400,3,0.6,7.400142511,0.780015379,9.218932381,,3.259384138,0.933698146,
